event_id,gamma_track_id,scatter_x_mm,scatter_y_mm,scatter_z_mm,absorber_x_mm,absorber_y_mm,absorber_z_mm,scatter_energy_keV,absorber_energy_keV,total_energy_keV,incident_energy_keV,computed_theta_deg,geometric_theta_source_deg,arm_source_deg,scatter_sector,absorber_sector,scatter_pixel,absorber_pixel,delta_time
407064,689,39.72685102982668,-4.740193307095764,-5.434787913698309,52.439837408751,36.47854562381402,11.859265409420082,152.8845616706887,249.4731983830946,402.3577600537833,440.446,67.46936643772351,83.39977591188364,-15.930409474160129,0,1,18,7,0.0
421660,732,-20.880400362985228,32.609011032141986,5.076142223105062,-1.6770228020396265,66.1464192374524,-4.96748979781203,147.84996356316884,266.3244455210185,414.17440908418735,440.446,65.55914496789555,65.70153896036902,-0.1423939924734725,3,2,13,34,0.0
430487,703,-1.6388528156049684,-39.72652370038782,6.036961533492477,10.269851740077426,-69.96112316951944,7.8737355247455625,31.14412649124113,368.21328628076407,399.3574127720052,440.446,24.255791747978293,24.3282958544776,-0.07250410649930572,6,6,29,62,0.125
441908,674,-1.8071278052408655,-40.04280403573515,-8.748455105810727,-7.724186714622601,-65.25588881313345,-1.6070345494466074,42.79839571135547,352.4481867472906,395.24658245864606,440.446,28.939578851110916,29.654896670696804,-0.7153178195858878,6,6,25,11,0.0
454943,705,-32.73715035849636,-20.433887259325772,-4.656903682557358,-47.71482667008843,-41.363820188067805,-0.5015372127957468,39.04803689893332,357.4400755607913,396.4881124597246,440.446,27.484333727779966,27.527086673391246,-0.04275294561128007,5,5,10,19,0.125
458843,666,-35.044704287975115,18.623504609466707,-11.944056139981331,-69.0489289810499,5.123734349626303,-4.762185099288653,118.07638398118775,294.34615873986496,412.4225427210527,440.446,54.896759756632434,56.42825760032103,-1.531497843688598,3,4,56,18,0.125
469841,672,34.572014876763724,22.738095627989036,8.610679919393824,53.457094062604014,36.40422848372911,-12.313308556126845,156.21449405736615,250.69767805351012,406.91217211087627,440.446,68.75487814779261,53.71766198654933,15.037216161243279,1,1,14,0,0.125
474071,700,33.986192160568095,24.045851890147233,-10.742753890423415,40.25646599342326,-55.133297336204194,1.017124605068901,230.6333070122969,176.955621597488,407.58892860978494,440.446,105.98081113174545,121.76013433881865,-15.77932320707319,1,7,8,4,0.1875
482885,689,-23.481488977834978,-31.610712461652994,-2.8313354167603944,-47.66172065991616,-50.47262782881688,3.8980660439804855,28.307997080281552,375.4511000454402,403.7590971257218,440.446,23.028287025131647,22.52334247391774,0.5049445512139066,5,5,43,37,0.0625
486656,691,-25.86310469587346,28.71379327562747,-5.994558495154276,-7.160202025860044,65.88284830874171,-11.739140170350785,143.09355230156393,249.08826189004014,392.1818141916041,440.446,63.788279675302164,67.9004264463338,-4.112146771031632,3,2,26,48,0.125
491833,843,-24.11209312082253,-29.63290402144988,3.7979939625234875,-0.6386672166653105,-63.21240241700773,-1.0931628204293666,168.52679629287402,247.53104851524688,416.0578448081209,440.446,73.6828244364438,74.98154396288274,-1.2987195264389442,5,6,45,27,0.125
502279,956,-36.425142719158885,-20.758073609479993,1.9004840458285306,-39.8139273171421,-50.396348791467055,-0.9003998288432155,156.02864618433136,241.03444688987796,397.0630930742093,440.446,68.68264367067803,54.324417745978856,14.358225924699177,5,5,4,51,0.09375
503928,754,23.660386096687702,30.848033733384238,5.441564506390317,49.11734863540858,47.87441210287934,3.983476367489705,27.715666875063324,375.5712686638332,403.28693553889656,440.446,22.766252279252956,21.532012168707386,1.2342401105455707,1,1,45,29,0.0
505056,671,22.312160688203516,-31.90636064293085,-1.6781140698108359,11.263714275967471,-67.29893928652906,3.643749974277859,110.38101005986205,297.4128355883716,407.7938456482336,440.446,52.26512916915248,53.22900441317416,-0.9638752440216791,7,6,11,61,0.0
508036,751,-24.29640742630105,-34.02903820520824,8.310979134202634,-41.66113703191588,-49.43705098959518,11.004099093823294,8.796096565087764,377.03310417076574,385.8292007358535,440.446,12.483599800835844,13.543851161243033,-1.0602513604071895,5,5,54,47,0.0625
509918,696,5.355402706907168,39.75239370867471,0.717762476157116,2.529251705974872,66.58342639829647,-3.9906603441112747,17.16007863157393,370.18545840208196,387.3455370336559,440.446,17.64254020568581,17.462515714772852,0.18002449091295603,2,2,20,26,0.0
514577,704,-34.64676020083614,-22.265074448346706,-0.7681751104388411,-68.59360472545232,-3.577551747006418,2.826788505153335,131.26431610021524,286.678891456015,417.9432075562302,440.446,59.50662501161429,61.80857357785342,-2.3019485662391332,5,4,11,44,0.0
515681,650,-39.40944659292723,12.235074565461092,5.676402755169918,-49.391609701824414,42.901884063450375,2.1163346394730156,156.4544766627534,245.72339311616562,402.177869778919,440.446,68.84824086923604,56.37561014922104,12.472630720014998,4,3,5,44,0.0
518472,653,18.67706730520455,36.23821619728313,-11.603578433040822,4.499022073360961,63.316133575607495,-11.388451120246996,159.84875416091523,243.5884817023399,403.4372358632551,440.446,70.1795654826189,56.560392494694895,13.619172987924003,1,2,56,16,0.125
529275,680,19.7412002325619,-34.87056049267786,-11.131834668610331,51.87092798877537,-40.96538208371644,-7.083745802511565,117.03315315260076,292.3166652054179,409.34981835801864,440.446,54.5378740974583,54.194701942088216,0.34317215537008394,7,7,0,49,0.125
534241,706,3.5666226787665205,39.16963447058183,-5.687976037529674,-64.45848176669121,-2.8325415696185443,5.271059345399899,238.8374793387634,177.29656165480944,416.13404099357285,440.446,111.98875679782422,127.45347011941438,-15.464713321590153,2,4,18,37,0.1875
536440,672,32.72059852406327,-22.040602089032337,-11.743502839011171,47.414136319485664,-44.34848851412898,12.258505876978193,154.23096688386505,262.28176265179434,416.5127295356594,440.446,67.98693653049911,62.14830625349658,5.83863027700253,7,7,48,39,0.09375
539037,704,20.723048361651372,-35.23408700583324,-4.328078134780684,-12.08739204023413,-63.25589445678759,-9.957528913387064,157.73546163722926,252.8690266798656,410.6044883170949,440.446,69.34827974708632,79.31085946222142,-9.962579715135092,7,6,2,0,0.125
551572,743,-30.590524406573795,24.675174070862166,1.256492166906254,-44.593745374166254,45.12338491598874,7.8800368691391425,22.687755763980366,382.646405567467,405.3341613314474,440.446,20.44756923972896,21.077205508478702,-0.6296362687497421,3,3,44,30,0.0
566409,756,-22.957313930706814,-34.33670118669158,-0.49870577117581677,-43.59463715112984,-54.51890370504048,1.1801149318584905,7.194585245158234,375.0921374765119,382.2867227216701,440.446,11.265070755193612,12.529277075562524,-1.2642063203689116,5,5,51,52,0.0625
572441,723,-24.896912305429673,28.16338078491828,4.782453262375036,-52.095530795357384,37.577443673032036,6.866073529175417,46.53411574581598,340.54815468651003,387.082270432326,440.446,30.35129998673033,29.443290314379357,0.9080096723509712,3,3,29,62,0.0
575667,694,-38.761345100537426,-1.7246995843764465,-1.800234073971241,-64.23353578249555,-2.22905252352262,7.328361602462037,24.45332733530662,357.19952768460803,381.6528550199146,440.446,21.28271877395457,22.412390832143195,-1.1296720581886248,4,4,35,38,0.0
588740,709,36.99994562688103,-19.870053535594273,-5.197767572111322,41.39224939119553,-49.185219102053544,-8.380914435808576,164.87447296882218,256.6226834544808,421.49715642330295,440.446,72.19002582245876,52.869711810251225,19.32031401220754,7,7,58,17,0.09375
591949,688,-11.550840271720388,40.22642853518154,4.743367867053456,-3.9607205277496274,65.04024394798236,-3.9679687688010716,72.00840214029627,325.12231812033974,397.130720260636,440.446,39.35332589605935,41.07035515576323,-1.717029259703878,2,2,61,42,0.0625
597951,664,-39.94551017834092,12.368712074389864,1.3713242089437923,-51.55363516560241,-41.998130469198664,-0.3953277171914136,199.91900479303067,181.91394548148114,381.8329502745118,440.446,87.95479667984716,95.20658854638305,-7.251791866535882,4,5,4,11,0.125
606909,672,-35.57678623902205,-19.318397218908117,-10.71487898444345,-52.30827793069893,-37.89407409846181,-8.568329879520286,40.236148944414076,355.43435281304176,395.67050175745584,440.446,27.94990462254344,27.61238638094544,0.3375182415979978,5,5,0,1,0.0625
611799,670,20.56094813546958,-37.11768452065638,4.916094069249572,5.350051888259069,-62.5985144670627,9.18844409057093,165.70939951998238,254.2972324753538,420.0066319953362,440.446,72.52883765232379,59.289845843379844,13.238991808943943,7,6,5,46,0.125
618720,181,-33.63527156397447,-21.08174906698649,-10.088449002548286,-62.63862315458918,-2.427363800967586,-1.099177712192953,122.4468412068814,320.1756861776677,442.62252738454913,440.446,56.40863210639762,70.31865137391816,-13.91001926752054,5,4,8,35,0.0
624074,677,39.35937078921797,10.238145063616052,7.212189258891244,66.0452280618322,5.047349951198827,-4.692303916888529,72.7174070797114,326.3396323821952,399.0570394619066,440.446,39.59433369906789,41.97377902088519,-2.3794453218173004,0,0,62,42,0.0
